/* name	screen	seed	pos	dur	state	synced	offsetMs	title	artist	album	app	lyrics */
cov-art	cover	1	63	414	2	1	0	Hallelujah	Jeff Buckley	Grace	SPOTIFY	0|;4|Well I heard there was a secret chord;9.5|That David played and it pleased the Lord;15|But you dont really care for music do you;21|It goes like this the fourth the fifth;26|The minor fall the major lift;31|The baffled king composing hallelujah;38|;42|Hallelujah
cov-noart	cover	0	63	414	2	1	0	Hallelujah	Jeff Buckley	Grace	SPOTIFY	0|;4|Well I heard there was a secret chord;9.5|That David played and it pleased the Lord;15|But you dont really care for music do you;21|It goes like this the fourth the fifth;26|The minor fall the major lift;31|The baffled king composing hallelujah;38|;42|Hallelujah
cov-longtitle	cover	7	12	300	2	1	0	Hallelujah Live At The Beacon Theatre 1995	Jeff Buckley	Grace	SPOTIFY	0|;4|Well I heard there was a secret chord;9.5|That David played and it pleased the Lord;15|But you dont really care for music do you;21|It goes like this the fourth the fifth;26|The minor fall the major lift;31|The baffled king composing hallelujah;38|;42|Hallelujah
cov-empty	cover	3	0	200	2	1	0				
cov-accents	cover	5	100	250	2	1	0	Agaetis byrjun	Sigur Ros	Untitled	BROWSER	
lyr-mid	lyrics	1	27	414	2	1	0	Hallelujah	Jeff Buckley	Grace	SPOTIFY	0|;4|Well I heard there was a secret chord;9.5|That David played and it pleased the Lord;15|But you dont really care for music do you;21|It goes like this the fourth the fifth;26|The minor fall the major lift;31|The baffled king composing hallelujah;38|;42|Hallelujah
lyr-start	lyrics	1	1	414	2	1	0	Hallelujah	Jeff Buckley	Grace	SPOTIFY	0|;4|Well I heard there was a secret chord;9.5|That David played and it pleased the Lord;15|But you dont really care for music do you;21|It goes like this the fourth the fifth;26|The minor fall the major lift;31|The baffled king composing hallelujah;38|;42|Hallelujah
lyr-rest	lyrics	1	39	414	2	1	0	Hallelujah	Jeff Buckley	Grace	SPOTIFY	0|;4|Well I heard there was a secret chord;9.5|That David played and it pleased the Lord;15|But you dont really care for music do you;21|It goes like this the fourth the fifth;26|The minor fall the major lift;31|The baffled king composing hallelujah;38|;42|Hallelujah
lyr-end	lyrics	1	400	414	2	1	0	Hallelujah	Jeff Buckley	Grace	SPOTIFY	0|;4|Well I heard there was a secret chord;9.5|That David played and it pleased the Lord;15|But you dont really care for music do you;21|It goes like this the fourth the fifth;26|The minor fall the major lift;31|The baffled king composing hallelujah;38|;42|Hallelujah
lyr-offset	lyrics	1	27	414	2	1	1500	Hallelujah	Jeff Buckley	Grace	SPOTIFY	0|;4|Well I heard there was a secret chord;9.5|That David played and it pleased the Lord;15|But you dont really care for music do you;21|It goes like this the fourth the fifth;26|The minor fall the major lift;31|The baffled king composing hallelujah;38|;42|Hallelujah
lyr-negoff	lyrics	1	27	414	2	1	-2500	Hallelujah	Jeff Buckley	Grace	SPOTIFY	0|;4|Well I heard there was a secret chord;9.5|That David played and it pleased the Lord;15|But you dont really care for music do you;21|It goes like this the fourth the fifth;26|The minor fall the major lift;31|The baffled king composing hallelujah;38|;42|Hallelujah
lyr-plain	lyrics	1	120	414	2	0	0	Hallelujah	Jeff Buckley	Grace	SPOTIFY	0|;4|Well I heard there was a secret chord;9.5|That David played and it pleased the Lord;15|But you dont really care for music do you;21|It goes like this the fourth the fifth;26|The minor fall the major lift;31|The baffled king composing hallelujah;38|;42|Hallelujah
lyr-plain-end	lyrics	1	410	414	2	0	0	Hallelujah	Jeff Buckley	Grace	SPOTIFY	0|;4|Well I heard there was a secret chord;9.5|That David played and it pleased the Lord;15|But you dont really care for music do you;21|It goes like this the fourth the fifth;26|The minor fall the major lift;31|The baffled king composing hallelujah;38|;42|Hallelujah
lyr-searching	lyrics	1	10	414	1	0	0	Hallelujah	Jeff Buckley	Grace	SPOTIFY	
lyr-none	lyrics	1	10	414	3	0	0	Hallelujah	Jeff Buckley	Grace	SPOTIFY	
lyr-notrack	lyrics	1	0	0	3	0	0				
lyr-nodur	lyrics	1	27	0	2	1	0	Hallelujah	Jeff Buckley	Grace	SPOTIFY	0|;4|Well I heard there was a secret chord;9.5|That David played and it pleased the Lord;15|But you dont really care for music do you;21|It goes like this the fourth the fifth;26|The minor fall the major lift;31|The baffled king composing hallelujah;38|;42|Hallelujah
